id,sensor_id,start_time,end_time,in_count,out_count,sensor_type,ip_address,device_type,serial_number,sensor_group,tmestamp
211884,North Entrance,7/24/2019 17:30,7/24/2019 17:45,0,3,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 17:45
211885,SW Exit,7/24/2019 17:30,7/24/2019 17:45,0,1,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 17:45
211880,SE Exit,7/24/2019 17:36,7/24/2019 17:37,0,3,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:37
211881,SE Exit,7/24/2019 17:37,7/24/2019 17:38,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:38
211888,North Entrance,7/24/2019 17:45,7/24/2019 18:00,1,7,SINGLE_SENSOR,10.18.152.163,PC2 - L,D8:80:39:D3:D6:BE,North Entrance,7/24/2019 18:00
211889,SW Exit,7/24/2019 17:45,7/24/2019 18:00,0,1,SINGLE_SENSOR,10.18.155.111,PC2,D8:80:39:D3:B3:B9,SW Exit,7/24/2019 18:00
211890,North Exit,7/24/2019 17:45,7/24/2019 18:00,0,6,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 18:00
211891,SE Entrance,7/24/2019 17:45,7/24/2019 18:00,2,4,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 18:00
211886,SE Exit,7/24/2019 17:48,7/24/2019 17:49,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:49
211887,SE Exit,7/24/2019 17:52,7/24/2019 17:53,0,1,SINGLE_SENSOR,10.18.191.200,PC2,D8:80:39:D3:91:48,SE Exit,7/24/2019 17:53
211893,North Exit,7/24/2019 18:00,7/24/2019 18:15,0,5,SINGLE_SENSOR,10.18.153.0,PC2,D8:80:39:D3:91:52,North Exit,7/24/2019 18:15
211894,SE Entrance,7/24/2019 18:00,7/24/2019 18:15,1,5,SINGLE_SENSOR,10.18.191.199,PC2,D8:80:39:D3:FE:90,SE Entrance,7/24/2019 18:15
